track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7fXl3E41dDq3dfcC07VOgs,El Final,J Alvarez,46,1Fab0xB44pUUVLmuWbmFl7,"La Fama Que Camina, Vol. 2",2019-11-08,Trap Land,37i9dQZF1DXde9tuMHuIsj,rap,trap,0.866,0.719,6,-4.102,0,0.176,0.382,0.0,0.236,0.537,128.037,220333
7AsgdmESBauahEULwJ3EL9,¿Y Por Que?,Danilo Parra,18,7dc0pgT9AO8Ptrdcft6bXe,Mis Canciones,2014-10-20,Latin Pop antiguo,4BmnnqWEQAamNoVjtjrQJP,latin,latin pop,0.75,0.946,7,-3.602,1,0.172,0.139,0.0,0.0736,0.911,107.054,190664
2dyfo7lqKI7NtSAhUZwnoJ,My Michelle,Guns N' Roses,57,3I9Z1nDCL4E0cP62flcbI5,Appetite For Destruction,1987-01-01,This Is Guns N' Roses,37i9dQZF1DX74DnfGTwugU,rock,album rock,0.441,0.935,3,-8.49,1,0.0514,0.167,0.0298,0.513,0.308,103.467,218667
1IFVf0aClnuhHPh2UwVt0f,Smile,Prince Paris,39,4Ei7SHC3TJNLzmOYyKZMjQ,Smile,2019-04-26,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop,0.776,0.598,11,-5.102,1,0.19,0.151,2.05e-05,0.0858,0.419,117.105,221549
3nbi8TqJu1eLHYWJefcJp4,Do My Thing,Estelle,39,2t8fe6B3SkJQlPgc5MvfFw,All of Me,2012-02-24,This Is Janelle Monáe,37i9dQZF1DWVT93EW7kPT9,pop,electropop,0.653,0.898,6,-2.946,0,0.0597,0.033,0.0,0.0483,0.963,144.973,208227
0b8PKDeFc2T5u9cRbLLv2r,We’re Going to Ibiza!,Vengaboys,60,5t02mTYT9ks9sOC1ihea4a,Greatest Hits!,2000,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.802,0.671,1,-9.969,1,0.0424,0.0233,0.0108,0.0943,0.912,103.993,216360
4zMmqb0pYwX6b0qc0slCoT,Only Child,Tierra Whack,67,0vioXPjQ9v9dSkzw5xHrTQ,Only Child,2019-02-19,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.826,0.365,1,-7.024,1,0.0412,0.849,3.8e-06,0.186,0.802,85.244,239324
6vY2FbKVYwrBjCIf3j8gZU,Sinister Piffle,Jamie Berry,39,0SPLYbew3ug08fLlrCqZk1,Frenzy,2017-12-15,Electro Swing,3Dr4NKbsFQ2m7tmPxGRroO,edm,electro house,0.925,0.501,5,-8.752,0,0.164,0.0799,0.756,0.591,0.694,114.019,248820
7l2dHlKH07RO0BK0Lh6obt,Only Can Get Better (feat. Daniel Merriweather),Silk City,51,3zn03EVv98hZvRpIrFvZmZ,Only Can Get Better (feat. Daniel Merriweather),2018-05-23,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.636,0.891,6,-5.946,1,0.0589,0.107,0.0337,0.215,0.595,124.005,209027
2lcDP3fjVgWeS6tBj4JgaV,Dime,Julia Medina,50,3JC1pf3o4y37tVhDX6C6p4,No Dejo De Bailar,2019-10-17,Latin Pop VIP,37i9dQZF1DX1QnNyJOBQBv,latin,latin pop,0.656,0.723,9,-5.744,1,0.0509,0.0267,0.0,0.0951,0.498,136.128,206489
0Zk0jUiOIn6hcViDB3aMKx,Fake Yeezys,KKG,31,5tPTltnmD9vPw0Eg7cNZvO,Fake Yeezys,2018-05-26,RAP 91,37i9dQZF1DX1ct2TQrAvRf,rap,hip hop,0.818,0.807,2,-7.55,1,0.238,0.0208,0.0,0.25,0.571,134.024,259801
1NleqQdTDGWJBk0bVxldab,O - Reprise,Coldplay,32,2jQB4YEh4xWhloG21IueUf,A Sky Full of Stars,2014-06-29,Coldplay – Ghost Stories (Deluxe Edition),6h9DHd1pHHiK84cQqJZyIp,rock,album rock,0.201,0.327,10,-11.975,1,0.0285,0.869,0.846,0.117,0.0945,107.019,97360
1FvU97lrWOG2NRxErh6OZz,Bad and Boujee (feat. Lil Uzi Vert),Migos,61,3tWaxq6QGN4jkrrXHcvNBA,Bad and Boujee (feat. Lil Uzi Vert),2016-10-28,RAP Gangsta,1Z1gW89x4MSBjkvVjGg7DQ,rap,gangster rap,0.897,0.661,8,-6.2,0,0.27,0.0633,0.0,0.116,0.193,127.081,334467
0c3fJd2HRi6uHWgTljIae5,Dear Agony,Breaking Benjamin,60,0mBvlBWI6TMDrWvQ8bKOKV,Dear Agony,2009-01-01,Hard Rock Workout,3YouF0u7waJnolytf9JCXf,rock,hard rock,0.358,0.75,3,-3.572,1,0.0414,8.49e-05,0.0,0.113,0.218,125.103,258253
48PG7tNmMOEcyTKXpP3ti0,PLIK,DZIARMA,56,53QlNs950KP5RAgTNjNj6s,PLIK,2019-12-12,Trap strefa,37i9dQZF1DWY3UKS6jvnxr,rap,trap,0.797,0.455,8,-9.613,1,0.226,0.193,0.000224,0.105,0.293,120.054,233867
504BrFbtkCK5GG8U0wb2qb,Sunrise,Kevitch,54,38HbJPmQs9Hby1736L1GYZ,Sunrise,2019-12-29,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.608,0.388,5,-11.675,0,0.0341,0.522,0.118,0.11,0.145,138.058,208744
4CoM21pk8SxQh4L7ijqhRu,I Like That,Janelle Monáe,48,7f9YpRlnlfhCkCETY5UkMB,I Like That,2018-04-16,This Is Janelle Monáe,37i9dQZF1DWVT93EW7kPT9,pop,electropop,0.482,0.453,0,-8.864,1,0.059,0.0323,0.00243,0.149,0.17,134.799,200338
3oJkJtQFOmpwSl9RuIXsA7,Cold Walls,Desert Minds,22,19yJ28qrv2DljKFECbzczH,Cold Walls,2019-04-19,Big Room House / Bigroom,2EnVd4ugXUybVQoQrarICY,edm,big room,0.575,0.71,1,-6.473,0,0.0372,0.0193,4.19e-05,0.0889,0.168,142.145,195000
78TnMTAFmWUWWCgNXR7D3K,Listen to Your Heart,Roxette,75,1iI5YZkqNUV7VmrEi4uOP9,Look Sharp! (2009 Version),1988-10-19,80's Songs | Top 💯 80s Music Hits,65HtIbyFkaQPflCa4oW8KO,pop,electropop,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,328093
1Ezrl79QX3LqBk9v3qIdCl,Mistakes,Mike Hawkins,41,0PMQBeEZ2vf4GoOdgxgmlZ,Mistakes,2019-02-01,Fresh EDM | Progressive House | Electro House | Trap | Deep House | Electronic | Future House/Bass,0FCHg9zJMNNiOokh3hVcxd,edm,progressive electro house,0.535,0.794,6,-6.694,0,0.13,0.00261,0.15,0.166,0.48,154.952,174968
6EH4t79u6Qv9cPeSnowYlu,No More Mr. Nice Guy,Alice Cooper,37,3LfHG9J1LVwzSI5yvDhbzl,Alice Cooper's Greatest Hits,1974,70s Hard Rock,6pZlZ20vt3aDjIKw98aBtQ,rock,hard rock,0.498,0.515,11,-11.985,0,0.0395,0.0936,0.0,0.1,0.616,127.761,187893
6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,81,3J8W9AOjQhnBLCX33m3atT,Heathens,2016-06-16,2015 songs,6UJw1egIcZVfrBmcKs5uHH,edm,pop edm,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920
5qzZf8QtBUCdlsRDinh3jP,Both of You,Patrick Martin,43,2DzccBohDSJEfIDatSM9bx,Both of You,2019-09-20,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos",3Ho3iO0iJykgEQNbjB2sic,rock,hard rock,0.631,0.851,8,-2.673,1,0.0561,0.516,0.0,0.209,0.727,161.906,179648
03ejfFAbwrrANbH4fZzF0W,melancholyism.,Super Whatevr,46,1Umawe3NueijnMkEGiQwZV,melancholyism.,2020-01-07,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.44,0.652,0,-6.201,0,0.079,0.0357,0.000136,0.0587,0.5,93.353,188107
4Clmg1g8n2yBYG13Z1oSdG,Baila Conmigo (feat. Kelly Ruiz),Dayvi,83,68hy2xnNgeo0dO0YOm4Th7,Baila Conmigo (feat. Kelly Ruiz),2018-12-28,Exitos 2020 - Latin Billboard,0k2IDDkcVyIpIgE6d1woDM,latin,latin pop,0.745,0.972,7,-3.506,1,0.0774,0.00903,0.465,0.297,0.556,128.031,189818
4cjYV0POMDpgX9m2nWcRUh,MADNESS,MR.BLACK,28,2QQsgNFr1fklo88gVybXz3,MADNESS,2019-07-17,Big Room EDM,3S03NWbWkrR1e7DPH9rf9Z,edm,big room,0.35,0.948,1,-2.839,1,0.0578,0.00358,0.396,0.299,0.0783,134.296,183469
27GmP9AWRs744SzKcpJsTZ,Jumpman,Drake,75,1ozpmkWcCHwsQ4QTnxOOdT,What A Time To Be Alive,2015-09-20,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.852,0.553,1,-7.286,1,0.187,0.0563,0.0,0.332,0.656,142.072,205879
5HLes17mwCwKt81mi0Tk35,"Archie, Marry Me",Alvvays,62,4PrBMzWzzoMOwm55Bfo3dt,Alvvays,2014-07-22,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.27,0.83,7,-4.592,1,0.0741,0.00956,0.434,0.142,0.205,117.314,196560
5bSASu4W0HJx6CuG8rbRcA,Reel Around the Fountain - 2011 Remaster,The Smiths,51,6cI1XoZsOhkyrCwtuI70CN,The Smiths,1984,permanent wave,7rPsfDTqiZYIT4PVzQ4c0c,rock,permanent wave,0.67,0.571,9,-9.976,1,0.0255,0.00507,7.23e-05,0.124,0.899,109.905,359227
6kDtkwN4D9SFo3Rmv2AvKV,Yin Yang,Maurice West,27,5VrHHHSqun0Gpu54d3VDqm,Yin Yang,2017-02-06,BIG-ROOM NEVER DIES !,4QtO2XySphMOJt7pX0yaVi,edm,big room,0.516,0.922,11,-3.902,1,0.0753,0.00759,0.809,0.0966,0.253,127.854,176250
2YX0K9fzoyqWpT5sgyzVXS,Wild Love - Jonas Blue Remix,James Bay,47,2F0275Pu76wB6riIesDuXY,Wild Love (Remixes),2018-03-01,Pop EDM Remixes,4aUEH3uhbofktrFkXOOaKj,edm,pop edm,0.62,0.814,11,-5.328,0,0.0476,0.0185,5.04e-06,0.337,0.606,124.057,205707
55gL8ViNVX3YX8nxv1L4Uw,Side 2 Side - feat. Bow Wow & Project Pat - Explicit,Three 6 Mafia,43,0Pe9KCcaFK7CkeZPWXCuaB,Most Known Unknown (New Package-Explicit),2006-06-20,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.825,0.745,7,-7.273,1,0.109,0.00857,0.0,0.0893,0.542,169.836,214547
5ybydtBlJJL82AprlvN7Lg,Magnets - A-Trak Remix,Disclosure,2,06tuUa5n7dvjX4zRMQLBSo,Magnets (The Remixes),2015-11-16,@deniceemoberg EDM - POP REMIXES,2fbrY1tuoW8Uji14H7623k,edm,pop edm,0.618,0.82,10,-5.7,0,0.0871,0.0578,0.000171,0.131,0.56,125.019,260443
63f9E8ZTvtcEdqZKHj5Vzv,Sway,AATA,27,0uEjveH3fRkIckHh4cdEJC,BLUE MOMENT,2019-12-11,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.792,0.673,5,-7.876,0,0.163,0.0652,8.47e-05,0.145,0.784,104.996,241164
3bB66GhyUtnqYDQHm9ZBR5,Simple Man,Lynyrd Skynyrd,5,4iVFXLVT2V6QPxLgpsuxuo,Lynyrd Skynyrd Greatest Hits,2008-01-01,Supernatural Classic Rock,6oghIlByD49KFGNmNU8GSH,rock,classic rock,0.464,0.718,6,-9.693,1,0.0328,0.00395,0.004,0.17,0.476,120.669,354027
6OnpdpwV97cpg5dHhtYWXL,Started From the Bottom,Drake,1,7JakGcg3iDEmfVlMJPye8u,Started From the Bottom (Explicit Version),2013-01-01,Hip-Hop 'n RnB,0275i1VNfBnsNbPl0QIBpG,rap,southern hip hop,0.79,0.54,8,-6.959,1,0.183,0.0391,0.0,0.266,0.459,86.308,173160
1EKfW3pjgfLpnsYMZR9xVe,The Way She Loves Him (Live from Cinemusic),Shannon LaBrie,35,1JkmBgEUVeg4ozSOKWK1QI,The Way She Loves Him (Live from Cinemusic),2019-10-11,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.456,0.217,11,-13.567,1,0.0294,0.661,0.0,0.111,0.0765,94.323,269371
6xOya0bBsNi6pwBef1eyQG,styl,Be Vis,53,66nhkdrecxHgoAZ2cw4PDy,styl,2019-11-10,Trap strefa,37i9dQZF1DWY3UKS6jvnxr,rap,trap,0.828,0.559,10,-10.585,0,0.241,0.588,0.0,0.126,0.495,116.678,169771
51gJTJ1l7OCWHjGvfiZ177,Crystals,Of Monsters and Men,5,1XoZXbaY5k41bIxBekZG5b,Beneath The Skin (Deluxe),2015-06-05,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,49qyKvg6UAQAvIMUIGMnP3,pop,indie poptimism,0.582,0.763,0,-7.288,1,0.0308,0.00228,0.000332,0.101,0.327,132.178,243520
2xAXL9sumTKMz47H5FN3qB,Te Siento,Wisin & Yandel,0,68mxRf4BxRz37GTKOSOw6r,Caribe 2010,2010-06-15,REGGAETON VIEJO,31hG19URdBvLEpQWKFYfdD,latin,reggaeton,0.709,0.796,1,-5.738,1,0.0431,0.0158,0.0,0.383,0.432,109.948,257573
4oV7hMDK5c0AAaLJycnT8F,Divisor de Águas,Zeus,38,0BPwMEIde7Q660nWQM5VKC,Divisor de Águas,2019-09-09,Trap Ouro,37i9dQZF1DWYBXtbGSCurj,rap,trap,0.884,0.645,5,-10.209,0,0.149,0.324,0.00344,0.156,0.56,130.087,210179
